algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter
Binary Tree/Simple, 0.000, 64.670, 128.660, 62.670, 0.000, 510.000, 256.000, 255.000, 0.000, 56.260
std deviation, 0.000, 3.653, 7.305, 3.653, 0.000, 0.000, 0.000, 0.000, 0.000, 1.947
Breadth-first search, 0.000, 35.990, 188.070, 29.890, 2.050, 510.000, 256.000, 255.000, 0.000, 39.900
std deviation, 0.000, 6.883, 13.156, 6.003, 1.299, 0.000, 0.000, 0.000, 0.000, 3.851
Depth-first search, 0.000, 27.340, 203.460, 25.060, 0.140, 510.000, 256.000, 255.000, 0.000, 154.320
std deviation, 0.000, 2.779, 5.513, 2.763, 0.375, 0.000, 0.000, 0.000, 0.000, 15.627
Eller, 0.000, 73.430, 118.880, 55.950, 7.740, 510.000, 256.000, 255.000, 0.000, 68.710
std deviation, 0.000, 4.241, 7.925, 4.769, 2.152, 0.000, 0.000, 0.000, 0.000, 10.012
Fractal Tess/ident, 0.000, 72.400, 120.250, 56.300, 7.050, 510.000, 256.000, 255.000, 0.000, 74.810
std deviation, 0.000, 17.003, 30.558, 15.513, 7.619, 0.000, 0.000, 0.000, 0.000, 16.224
Fractal Tess/rotate, 0.000, 74.170, 117.780, 55.930, 8.120, 510.000, 256.000, 255.000, 0.000, 73.520
std deviation, 0.000, 16.250, 29.336, 17.525, 8.920, 0.000, 0.000, 0.000, 0.000, 15.080
Fractal Tess/dihedral, 0.000, 71.320, 122.790, 54.460, 7.430, 510.000, 256.000, 255.000, 0.000, 72.430
std deviation, 0.000, 14.177, 25.054, 14.671, 7.968, 0.000, 0.000, 0.000, 0.000, 14.621
Hunt & Kill, 0.000, 30.490, 197.990, 26.550, 0.970, 510.000, 256.000, 255.000, 0.000, 111.910
std deviation, 0.000, 3.180, 6.295, 3.477, 0.964, 0.000, 0.000, 0.000, 0.000, 19.177
Inwinder, 0.000, 77.200, 112.680, 57.040, 9.080, 510.000, 256.000, 255.000, 0.000, 38.310
std deviation, 0.000, 4.042, 7.682, 4.839, 2.115, 0.000, 0.000, 0.000, 0.000, 2.883
Kruskal, 0.000, 78.250, 110.910, 57.430, 9.410, 510.000, 256.000, 255.000, 0.000, 62.130
std deviation, 0.000, 3.951, 7.114, 5.062, 2.698, 0.000, 0.000, 0.000, 0.000, 8.702
Outward Eller, 0.000, 71.470, 121.730, 56.130, 6.670, 510.000, 256.000, 255.000, 0.000, 85.960
std deviation, 0.000, 4.281, 7.818, 5.039, 2.534, 0.000, 0.000, 0.000, 0.000, 8.343
Outwinder, 0.000, 70.240, 121.420, 60.440, 3.900, 510.000, 256.000, 255.000, 0.000, 72.160
std deviation, 0.000, 4.229, 7.863, 4.367, 1.905, 0.000, 0.000, 0.000, 0.000, 4.014
Prim, 0.000, 77.570, 112.210, 56.870, 9.350, 510.000, 256.000, 255.000, 0.000, 62.080
std deviation, 0.000, 4.271, 7.781, 5.039, 2.555, 0.000, 0.000, 0.000, 0.000, 8.731
Prim/Vertex, 0.000, 110.160, 63.050, 57.420, 25.370, 510.000, 256.000, 255.000, 0.000, 56.720
std deviation, 0.000, 3.957, 6.611, 5.705, 3.454, 0.000, 0.000, 0.000, 0.000, 8.235
Prim/Simplified, 0.000, 72.430, 120.610, 55.490, 7.470, 510.000, 256.000, 255.000, 0.000, 45.840
std deviation, 0.000, 4.614, 7.938, 4.196, 2.480, 0.000, 0.000, 0.000, 0.000, 6.836
Sidewinder, 0.000, 70.180, 123.350, 56.760, 5.710, 510.000, 256.000, 255.000, 0.000, 64.780
std deviation, 0.000, 3.973, 7.713, 4.656, 1.785, 0.000, 0.000, 0.000, 0.000, 6.325
Wilson, 0.000, 74.810, 116.580, 56.410, 8.200, 510.000, 256.000, 255.000, 0.000, 70.120
std deviation, 0.000, 4.275, 7.729, 4.775, 2.441, 0.000, 0.000, 0.000, 0.000, 11.630
